Date,price,target_position,position,asset_return,gross_strategy_return,turnover,transaction_cost,strategy_return,portfolio,drawdown
2018-03-21,238.3624725341797,1.0,1.0,-0.0019190665807358176,-0.0019190665807358176,0.0,0.0,-0.0019190665807358176,21216.30897710477,-0.052574795068419444
2018-03-22,232.404052734375,1.0,1.0,-0.024997306566159616,-0.024997306566159616,0.0,0.0,-0.024997306566159616,20685.95839740172,-0.07625787336460077
2018-03-23,227.4504852294922,1.0,1.0,-0.021314462663628575,-0.021314462663628575,0.0,0.0,-0.021314462663628575,20245.048309478927,-0.09594694043359175
2018-03-26,233.6732482910156,1.0,1.0,0.0273587592272877,0.0273587592272877,0.0,0.0,0.0273587592272877,20798.92771172277,-0.07121317044822162
2018-03-27,229.69813537597656,1.0,1.0,-0.017011416343596375,-0.017011416343596375,0.0,0.0,-0.017011416343596375,20445.108492918287,-0.08701314990017583
2018-03-28,229.0194091796875,1.0,1.0,-0.002954861584653745,-0.002954861584653745,0.0,0.0,-0.002954861584653745,20384.696027238482,-0.08971089967083001
2018-03-29,231.9457244873047,1.0,1.0,0.012777586485349879,0.012777586485349879,0.0,0.0,0.012777586485349879,20645.16324370409,-0.07807960196470265
2018-04-02,226.93927001953125,1.0,1.0,-0.02158459475310337,-0.02158459475310337,0.0,0.0,-0.02158459475310337,20199.54576147707,-0.09797888015091438
2018-04-03,229.8479461669922,1.0,1.0,0.012816980274989787,0.012816980274989787,0.0,0.0,0.012816980274989787,20458.442941065678,-0.08641769325018434
2018-04-04,232.3071136474609,1.0,1.0,0.010699105741332371,0.010699105741332371,0.0,0.0,0.010699105741332371,20677.329985395154,-0.07664317954685773
2018-04-05,234.14048767089844,1.0,1.0,0.00789202704407832,0.00789202704407832,0.0,0.0,0.00789202704407832,20840.516032839223,-0.06935602254850748
2018-04-06,228.9224548339844,1.0,1.0,-0.022285905734715783,-0.022285905734715783,0.0,0.0,-0.022285905734715783,20376.066257068538,-0.09009626650257219
2018-04-09,230.05062866210935,1.0,1.0,0.004928192076845805,0.004928192076845805,0.0,0.0,0.004928192076845805,20476.48342535391,-0.08561208613245774
2018-04-10,233.70855712890625,1.0,1.0,0.015900536712592617,0.015900536712592617,0.0,0.0,0.015900536712592617,20802.07050180354,-0.07107282753845601
2018-04-11,232.48336791992188,1.0,1.0,-0.00524238061299831,-0.00524238061299831,0.0,0.0,-0.00524238061299831,20693.01813069466,-0.0759426173382558
2018-04-12,234.39602661132807,1.0,1.0,0.008227077526100635,0.008227077526100635,0.0,0.0,0.008227077526100635,20863.261195104893,-0.0683403256125319
2018-04-13,233.70855712890625,1.0,1.0,-0.0029329400005647654,-0.0029329400005647654,0.0,0.0,-0.0029329400005647654,20802.070501803537,-0.07107282753845623
2018-04-16,235.63006591796875,1.0,1.0,0.008221816148574534,0.008221816148574534,0.0,0.0,0.008221816148574534,20973.10130097905,-0.06343535911106224
2018-04-17,238.15089416503903,1.0,1.0,0.01069824530774377,0.01069824530774377,0.0,0.0,0.01069824530774377,21197.476683561086,-0.05341576083627331
2018-04-18,238.3272705078125,1.0,1.0,0.0007406075185727445,0.0007406075185727445,0.0,0.0,0.0007406075185727445,21213.1756941677,-0.05271471343178624
2018-04-19,237.0050506591797,1.0,1.0,-0.005547916718953383,-0.005547916718953383,0.0,0.0,-0.005547916718953383,21095.48676207193,-0.05797017331075671
2018-04-20,234.99542236328125,1.0,1.0,-0.008479263586615882,-0.008479263586615882,0.0,0.0,-0.008479263586615882,20916.612569328357,-0.06595789251770878
2018-04-23,234.96018981933597,1.0,1.0,-0.00014992863942187018,-0.00014992863942187018,0.0,0.0,-0.00014992863942187018,20913.476570064522,-0.06609793218004645
2018-04-24,231.79586791992188,1.0,1.0,-0.013467481030923545,-0.013467481030923545,0.0,0.0,-0.013467481030923545,20631.824721066514,-0.078675240563152
2018-04-25,232.36883544921875,1.0,1.0,0.002471862567864358,0.002471862567864358,0.0,0.0,0.002471862567864358,20682.823756301255,-0.07639785237745345
2018-04-26,234.73098754882807,1.0,1.0,0.01016552884573696,0.01016552884573696,0.0,0.0,0.01016552884573696,20893.07559780723,-0.06700894810381186
2018-04-27,234.95132446289065,1.0,1.0,0.0009386784265827952,0.0009386784265827952,0.0,0.0,0.0009386784265827952,20912.687477135856,-0.06613316953120207
2018-04-30,233.14447021484372,1.0,1.0,-0.007690334379588992,-0.007690334379588992,0.0,0.0,-0.007690334379588992,20751.861917660837,-0.07331491772351406
2018-05-01,233.5587310791016,1.0,1.0,0.0017768419035464333,0.0017768419035464333,0.0,0.0,0.0017768419035464333,20788.73469549275,-0.07166834483793372
2018-05-02,231.98977661132807,1.0,1.0,-0.006717601438081755,-0.006717601438081755,0.0,0.0,-0.006717601438081755,20649.084261406406,-0.07790450689966733
